Turkish,English
bir,one
ve,and
olmak,to be
bu,this 
için,for  
o,he
ben,i
demek,means
çok,a lot
yapmak,to do
ne,what
gibi,like
daha,more
almak,to take  
var,there is
kendi,own
gelmek,to come
ile,with
vermek,to give
ama,but
sonra,later
kadar,much
yer,place
en,-most
insan,person 
değil,not
her,each
istemek,to want
yıl,year
çıkmak,to leave
görmek,to see
gün,day
biz,we
gitmek,to go
iş,work
şey,thing
ara,search
ki,that
bilmek,to know
el,hand
zaman,time
ya,or
çocuk,child
iki,two
bakmak,to look 
çalışmak,to work
içinde,inside
büyük,big
yok,no
başlamak,to start
yol,path
kalmak,to stay
neden,from where
siz,you
konu,subject
yapılmak,be done
iyi,good
kadın,woman
ev,house
ise,whereas
diye,saying
bulunmak,have
söylemek,to say
göz,eyelash
gerekmek,require
dünya,world
baş,head
durum,situation
yan,side
geçmek,to go past
sen,you
onlar,them
yeni,new
önce,before
başka,another
hal,status
orta,middle
su,this
girmek,to enter
ülke,country
yemek,food
hiç,none
bile,even    
nasıl,how
bütün,all
karşı,opposite
bulmak,to find
böyle,like this
yaşamak,to live
düşünmek,to think
aynı,same
iç,drink
ancak,however
kişi,person
bunlar,these
veya,or 
ilk,first
göre,according to
ön,front
son,end
biri,someone
şekil,shape
önemli,important
yüz,face
hem,both
göstermek,to show
etmek,to do
alt,lower
getirmek,to bring
kullanmak,to use
çünkü,because
taraf,side
şimdi,now
adam,man
onun,her
diğer,other
artık,now
üzerinde,on
ses,sound
hep,always
doğru,true
durmak,stop
kız,girl
tüm,all
çekmek,to pull
konuşmak,to talk
para,money
anlamak,to understand
anne,mom
az,little
bazı,some
baba,father
hayat,life
sadece,only
küçük,small
fazla,more
bilgi,information
an,moment
sormak,to ask
bunun,this
öyle,like that
yine,again
sağlamak,to ensure
sonuç,conclusion
kullanılmak,use
dış,external
ad,name
yani,well
süre,duration
dönmek,return
açmak,open
oturmak,to sit
anlatmak,to explain
bırakmak,to leave
hemen,immediately
saat,hour
yaş,age
sorun,problem
devlet,state
sahip,owner
sıra,order 
yazmak,to write
yüzde,percentage
ay,moon
atmak,to throw
tutmak,to hold
bunu,this
olay,event
düşmek,to fall
duymak,to listen
söz,promise
güzel,beautiful
sevmek,to love
biraz,a little
zor,difficult
çıkarmak,subtract
şu,this
koymak,to put
tek,only
sistem,system
birlikte,together
verilmek,to be given
kim,who
alınmak,to be taken
genç,youth
kapı,door
kitap,book
üzerine,over
burada,here
gece,night
alan,area
birbiri,each other
işte,at work
beklemek,to wait
uzun,long
hiçbir,no
bugün,today
dönem,period
arkadaş,friend
ürün,product
aile,family
üç,fly
okumak,to read
erkek,male
herkes,everyone
güç,strength
belki,maybe
gerçek,real
tam,full
ilgili,relating to
ilişki,relationship
çevre,environment
eski,old
aramak,to call
yaşam,life
halk,people
yakın,close
sokak,street
bey,gentleman
tarih,history
özellik,feature
bölüm,section
özel,special
akıl,mind
kimse,noone
pek,much
eğer,if
gerek,necessary
özellikle,especially
anlam,meaning
yüksek,high
banka,bank
kez,times
ayak,foot
taşımak,to carry
geri,back
toplum,society
araç,vehicle
madde,article
tür,type
karar,decision
görülmek,be seen
hava,weather
sayı,number
farklı,different
grup,group
oda,room
biçim,format
oluşmak,to consist of
haber,news
Allah,god
ayrıca,moreover
gelen,incoming
birkaç,a few 
soru,question
arka,back
kazanmak,to win
yazı,writing
okul,school
açık,open 
öğrenmek,to learn
sürmek,to spread
dil,language
şirket,company 
kaynak,source
bitmek,end up
program,program
devam etmek,to continue
hareket,movement
renk,colour
açılmak,open
hak,right
inanmak,to believe
çalışma,study
açı,angle
parça,piece
gazete,newspaper
oluşturmak,to create
tabi,subject to
değer,value
tanımak,to recognise
yapı,structure
doktor,doctor
gelir,income
görev,duty
amaç,aim
bölge,area
film,film
üzere,as well as
müşteri,customer
zaten,already
telefon,telephone
eğitim,education
deniz,sea
ikinci,second
kalkmak,to get up
hatta,even
etki,effect
gelişmek,to develop
geçen,last
vücut,body
düşünce,thought
milyon,million
oynamak,play
değişmek,changing
temel,basis
yaratmak,create
ulaşmak,to reach
sanmak,to think
geçirmek,put in
kültür,culture
kurmak,to create
fakat,but
buna,this
resim,picture
ışık,light
içmek,to drink
hanım,woman
hizmet,service
ihtiyaç,need
nokta,point
yön,direction
evet,yes
oyun,game
artmak,increase
yeniden,again  
işlem,process
kısa,short
kolay,easy
hangi,which
oran,ratio
aslında,actually
kabul etmek,to accept
orada,there
dikkat,attention
uzak,far
bilgisayar,computer
gelecek,future
görünmek,seem
örneğin,for example
oğul,son
dinlemek,to listen
uygun,suitable
lira,lira
üretim,production
dakika,minute
unutmak,to forget
yürümek,to walk
böylece,like this
kötü,bad
araba,car 
ağız,mouth
duygu,feeling
uygulamak,to apply
hâlâ,still
örnek,example
birçok,a lot
izlemek,to watch
derece,degree
mümkün,possible
şöyle,like this
duvar,wall
on,front
sanat,art
ana,mother
hastalık,illness
öğrenci,student
televizyon,television
yöntem,method
masa,table
ölmek,to die
takım,set
üst,top
kafa,head
müzik,music
ayrılmak,to leave
enerji,energy
üniversite,university
spor,sport
türlü,various kinds of
can,life
rağmen,despite
kısım,part
ölüm,death
sürekli,continually
sağlık,health
çeşitli,various
bundan,from this
hissetmek,to feel
oysa,whereas
sabah,morning
internet,internet
teknik,technical
dışarı,outside
merkez,centre
ortam,environment
yerine,in its place
düzey,level
köy,bay
yönetim,management
aşağı,down
cevap,reply
yatmak,to lie down
toprak,soil
isim,name
akşam,evening
araştırma,research
götürmek,take away
katılmak,to join
yoksa,or?
kurulmak,set up
ödemek,pay
sanki,as if
kan,blood
hasta,patient
şehir,city
inmek,to get down
sunmak,to present
bilinmek,know
hafta,week
trafik,traffic
hesap,bill
otomobil,car
yabancı,foreign
davranış,behaviour
mutfak,kitchen
kent,city
bazen,sometimes
belli,clear
ayrı,separate
fiyat,price
hakkında,about
kaldırmak,to pick up
kol,arm
yalnız,alone
hazırlamak,to prepare
cam,pine
sonunda,finally
yavaş,slow
gerekli,necessary
önem,importance
koca,husband
yanlış,wrong
varlık,presence
art,art
ilgi,interest
sana,to you
satış,sales
içeri,inside
doğal,natural
sahip olmak,have
ekonomik,economic
acı,angle
hayır,no
korumak,to protect
kat,floor
ekonomi,economy
genel,general
belirtmek,to indicate
fotoğraf,photograph
hayvan,animal
savaş,war
mal,goods
saç,hair
kaybetmek,to lose
kalan,remainder
değiştirmek,to change
dört,four
gerçekten,really
sayfa,page
teknoloji,technology
kurum,organisation
beş,five
sektör,sector
geniş,wide
kağıt,paper
koku,smell
sağ,right
sıcak,hot
yüzyıl,century
cadde,street
pazar,sunday
sürdürmek,to continue
kullanım,use
sınıf,class
aşk,love
doğmak,be born
ağır,heavy
tekrar,again
güneş,sun 
sigara,cigarette
ağaç,tree
kelime,word
bina,building
eş,spouse
kaçmak,to escape
parti,party
yatak,bed 
yazar,writer
kulak,ear
öğretmen,teacher
sebep,reason
sol,left
peki,alright
yağ,oil
yüzden,so
anlaşılmak,be understood
varmak,to arrive
gülmek,to laugh
kural,rule
satmak,to sell
şiir,poem
göndermek,to send
başarı,success
firma,company
hükümet,government
kalp,heart
kesmek,to cut
proje,project
şart,condition
hız,speed
köşe,corner
vurmak,hit
model,model
balık,fish
piyasa,market
görüş,opinion
bura,here
hazırlanmak,prepare
miktar,amount
birinci,first
meydan,square 
ölçü,measurement
seçmek,to choose
uygulanmak,apply
bahçe,garden
sevgi,love
ekmek,bread
boyunca,along
koşmak,to run
dolu,full
kuruluş,establishment
saye,count
korkmak,to be scared
yardım,help
karşılaşmak,to encounter
malzeme,material
hoş,pleasant
köpek,dog
ünlü,famous
büyümek,grow
dolaşmak,to wander
oldukça,increasingly
üstelik,besides
yaşanmak,live
beyaz,white
istek,request
öte,beyond
denmek,call
kardeş,brother
çekilmek,draw up
nerede,where
çalmak,to play
izin,permission
korku,fear
meslek,job
polis,police
yalnızca,only
açıklamak,to explain
fikir,idea
hızlı,fast
pencere,window
uğraşmak,to strive
taş,stone
ateş,fire    
fark,difference
yetmek,be enough
çoğu,most
kimi,who
koşul,condition
mahalle,neighbourhood
mutlaka,definitely
tane,unit
üretmek,to produce
üstüne,over
dayanmak,to resist
ince,thin
kaç,how much
